in|-0.043178990483284, not|0.0736597552895546, a|0.0070282816886901855, lot|-0.0032424197997897863, of|0.007074164226651192, words|0.015325917862355709, would|0.0041330670937895775, it|-0.0006790067418478429, be|-0.002033753553405404, a|-0.008379883132874966, good|0.011199775151908398, idea|0.0136388735845685, to|-0.004240458365529776, put|0.041931577026844025, inside|0.021965855732560158, the|0.005494354758411646, open|0.008112660609185696, part|0.04753027483820915, of|0.02804647944867611, this|0.020329834893345833, fixture|-0.04656456410884857	toilet	no	0	116786
in|-0.009719094261527061, not|0.0028127667028456926, a|-0.0006889682845212519, lot|0.00875008199363947, of|0.00484759034588933, words|0.0028031107503920794, if|0.0034725030418485403, the|0.004401111043989658, girls|0.010573070496320724, are|0.01509400736540556, not|-0.01931019127368927, wearing|0.03685956820845604, white|0.024888303130865097, socks|0.049786277115345, what|0.08964235335588455, color|0.0638742744922638, socks|0.09478101879358292, are|0.030243298038840294, they|0.05768001079559326, wearing|0.021347349509596825	white	blue	0	387079
in|-0.01243304181843996, not|0.00841649528592825, a|-0.0009186860406771302, lot|0.001037294277921319, of|0.0016043414361774921, words|-0.025832239538431168, why|0.052301522344350815, would|0.007112280465662479, the|0.0010490375570952892, be|0.0013445921940729022, riding|0.006784303113818169, up|0.005765099078416824, the|0.0016900466289371252, mountain|-0.0049031395465135574, for|0.0009004251915030181, the|7.86318487371318e-05, skier|0.02049154043197632	skiing		0	200296
in|-0.004901657346636057, not|0.04024358466267586, a|0.0003060277667827904, lot|-0.008344701491296291, of|0.005473916418850422, words|0.040027353912591934, how|-0.002164889592677355, symmetrical|-0.03967630863189697, are|-0.00480528362095356, the|-0.00529811717569828, white|0.01491115428507328, bricks|-0.01245706994086504, on|0.011310246773064137, either|-0.02515995316207409, side|0.0022842877078801394, of|0.010556831024587154, the|0.0018229278502985835, building|0.012422612868249416	clock	very	0	58655
in|-0.16600759327411652, not|0.07815603911876678, a|0.061303023248910904, lot|0.002383460756391287, of|0.04534642770886421, words|-0.3514597415924072, what|0.20501719415187836, mode|0.20996803045272827, of|0.010553378611803055, transportation|0.3139204978942871, is|0.027717402204871178, in|0.018147781491279602, the|-0.005564230959862471, center|-0.0022301808930933475, of|-0.006826811470091343, the|0.02510160207748413, photo|0.02006560191512108	bus	train	0	520503
in|-0.12983259558677673, not|-0.14974062144756317, a|0.0551338754594326, lot|-0.02506415545940399, of|0.011406337842345238, words|-0.1041843593120575, where|-0.029950901865959167, should|-0.0443103052675724, i|0.04805786535143852, go|0.0013209842145442963, to|-0.008990604430437088, get|0.05648874118924141, to|-0.009064462035894394, the|-0.0010151530150324106, book|0.005516557954251766, sale|0.07014504075050354	yes	left|to left	0	530162
in|0.07697030901908875, not|0.25432682037353516, a|-0.031009599566459656, lot|0.03417422994971275, of|0.01887001097202301, words|0.1173287034034729, does|-0.012260524556040764, this|0.016993889585137367, flask|0.009069591760635376, have|-0.027094766497612, enough|-0.12078042328357697, wine|-0.011328419670462608, to|0.0024699363857507706, fill|0.05327637493610382, the|-0.016326453536748886, glass|0.08710289746522903	wine	yes	0	347087
in|-0.08588248491287231, not|-0.13024723529815674, a|0.05634082853794098, lot|-0.036931607872247696, of|0.00792733021080494, words|-0.11173703521490097, is|0.007080836687237024, the|-0.009187574498355389, dog|0.02050730027258396, only|-0.055330101400613785, have|0.03324611112475395, one|0.057452816516160965, of|-0.007490301039069891, his|-0.010088356211781502, eyes|-0.03783874213695526, showing|-0.07668965309858322	yes	yes	1	176697
in|-0.01619590073823929, not|-0.006692912429571152, a|0.007800353225320578, lot|-0.005465102847665548, of|0.0038047456182539463, words|-0.029912354424595833, what|0.01522308774292469, do|0.0056180451065301895, you|0.0023515981156378984, call|0.050794582813978195, the|0.0022207540459930897, wooden|0.009343143552541733, items|-0.012318294495344162, behind|0.040305525064468384, the|0.004183806944638491, bear|-0.015472940169274807	tire		0	505371
in|0.02236158587038517, not|0.11462065577507019, a|0.013688766397535801, lot|0.06901992857456207, of|0.008694054558873177, words|-0.24682895839214325, what|0.33021923899650574, type|0.29309916496276855, of|0.06287845224142075, beds|0.040548473596572876, are|0.03869158402085304, shown|0.005761819891631603, in|-0.03172125667333603, the|-0.010093648917973042, photo|0.07708797603845596	bunk	bunk	0	349483
in|-0.05040518939495087, not|-0.04830647632479668, a|0.008939732797443867, lot|0.020208850502967834, of|0.00599159300327301, words|-0.08521710336208344, is|0.006295327562838793, the|-0.0011829296126961708, player|0.04954398050904274, in|0.014500346966087818, orange|0.07866834849119186, on|-0.00018201861530542374, defense|0.01845203898847103, or|0.23686429858207703, offense|0.6960400938987732	neither		0	152019
in|-0.041988126933574677, not|-0.05260254442691803, a|0.0380241721868515, lot|-0.02828354574739933, of|0.008545035496354103, words|-0.045533984899520874, is|0.0013670176267623901, these|-0.01270732469856739, girls|-0.029573630541563034, soccer|0.06874619424343109, teams|-0.03751998022198677, or|-0.270605206489563, coed|0.009197764098644257, soccer|0.08221862465143204, teams|-0.04134007543325424	yes	girls	0	152019
in|0.017741592600941658, not|0.025742163881659508, a|0.009555860422551632, lot|-0.001977526815608144, of|0.010621301829814911, words|-0.01602807082235813, what|0.12146736681461334, body|0.033327288925647736, part|0.0735301673412323, has|0.020684679970145226, most|0.013265153393149376, recently|-0.03311460465192795, the|-0.0012882133014500141, ball|0.037005919963121414	head	head	1	387079
in|-0.13741140067577362, not|-0.13667045533657074, a|0.03579917922616005, lot|-0.03372693806886673, of|0.023918746039271355, words|-0.16386854648590088, does|0.02968357317149639, the|-0.012995573692023754, window|0.07261791080236435, on|-0.0029031792655587196, the|0.003009048756211996, right|-0.01072097010910511, have|0.06924554705619812, a|-0.003128876443952322, curtain|-0.01793970726430416	yes	yes	1	554266
in|0.006576497107744217, not|0.005922022741287947, a|-0.0005755671299993992, lot|-0.0007065596873871982, of|0.0021252399310469627, words|-0.006134586874395609, what|0.017737828195095062, is|0.0016785229090601206, the|0.0015136266592890024, teddy|-0.00030359570519067347, bear|0.005556655116379261, wearing|-0.002507803263142705, on|-0.002340504666790366, the|-0.0003499006270430982, head|0.0055548870004713535	ears	helmet	0	505371
in|0.01859608106315136, not|0.05166181921958923, a|-0.00227905111387372, lot|0.022165169939398766, of|0.005307776853442192, words|-0.026393067091703415, what|0.07526512444019318, is|0.009148580022156239, written|0.03489549830555916, on|0.013234659098088741, the|0.0019996645860373974, teddy|0.023895224556326866, bear's|-0.012371864169836044, feet|0.0952896922826767	nothing		0	124039
in|0.0078801978379488, not|0.015394958667457104, a|-0.0006163703510537744, lot|0.01361522264778614, of|0.00475950725376606, words|-0.006586816161870956, how|0.038456108421087265, many|0.05833924561738968, people|0.01151814591139555, can|0.0009740793611854315, the|-0.009309654124081135, red|0.02319471910595894, buses|0.027031194418668747, hold|-0.031163932755589485	2		0	36012
in|0.01402368489652872, not|0.031207699328660965, a|-0.008101067505776882, lot|0.02727821096777916, of|0.007033668924123049, words|-0.07489136606454849, how|0.11020341515541077, many|0.14779286086559296, double-decker|0.0036734314635396004, buses|0.04760061949491501, are|0.004837365355342627, in|0.006484176963567734, the|0.0038337730802595615, picture|-0.00527358241379261	2	3	0	36012
in|0.005919245071709156, not|0.011509976349771023, a|-0.0030386524740606546, lot|0.00714564323425293, of|0.0016242857091128826, words|-0.0023889271542429924, how|0.012475403025746346, many|0.017044547945261, boxes|0.008524634875357151, of|0.0024181590415537357, green|0.0270658228546381, apples|0.0036836841609328985, are|-0.0039175343699753284, there|0.008092614822089672	5	4	0	303566
in|-0.18570108711719513, not|-0.12355905771255493, a|0.05084723234176636, lot|-0.05098448321223259, of|0.007664973847568035, words|-0.0822213813662529, is|0.004492422100156546, the|-0.013107599690556526, guy|0.015238828957080841, on|0.0018399055115878582, the|0.0013695682864636183, left|-0.023303594440221786, wearing|-0.03042973205447197, red|0.007924392819404602	yes	no	0	26448
in|-0.0010759951546788216, not|0.1130194142460823, a|0.006258790381252766, lot|0.03292597830295563, of|0.021153440698981285, words|-0.0725448951125145, what|0.19998471438884735, kind|0.09653234481811523, of|0.03778080642223358, meat|0.15119090676307678, is|0.01120824832469225, being|0.01511381659656763, prepared|-0.05648966133594513, here|0.02999606914818287	turkey	turkey	1	533452
in|-0.006848555989563465, not|-0.07160075008869171, a|0.008910786360502243, lot|0.061658747494220734, of|0.009048113599419594, words|-0.21641512215137482, how|0.17655301094055176, many|0.270692378282547, people|0.09424537420272827, are|0.022563710808753967, riding|-0.007688928861171007, on|-0.013959366828203201, each|0.09309017658233643, bike|0.05982287600636482	2	2	1	374987
in|-0.030086209997534752, not|-0.46370646357536316, a|0.09347907453775406, lot|0.037657104432582855, of|-0.08229439705610275, words|-0.37816330790519714, is|-0.023920943960547447, the|0.00505547970533371, person|-0.024366583675146103, who|-0.11699433624744415, lives|0.20470833778381348, here|-0.030208956450223923, a|0.00269630691036582, musician|0.4670155346393585	no	yes	0	460312
in|0.045981429517269135, not|0.05792219936847687, a|-0.020643536001443863, lot|0.04768704995512962, of|0.0010995257180184126, words|0.039724335074424744, is|0.0021277584601193666, the|0.00763698760420084, top|0.012416399084031582, button|-0.0619436614215374, on|-0.002442843746393919, his|-0.010448860935866833, shirt|0.020253585651516914, undone|0.17665398120880127	cinnamon	yes	0	190595
in|0.011823701672255993, not|0.044158682227134705, a|-0.004493231885135174, lot|0.01186955813318491, of|0.0013682577991858125, words|0.0035034054890275, what|0.05557619035243988, is|0.00335056078620255, the|-0.0016042047645896673, person|0.005503723863512278, doing|0.027297409251332283, to|0.014099759049713612, the|0.00201245560310781, kite|-0.024848835542798042	run	flying	0	65008
in|0.006738691125065088, not|0.015234834514558315, a|-0.004896749742329121, lot|0.04994750767946243, of|0.01038318406790495, words|-0.11077310144901276, what|0.06808134913444519, color|0.3679511845111847, is|0.005959868896752596, the|0.001269185682758689, car|-0.030410248786211014, to|-0.017062457278370857, the|0.005092916544526815, left|-0.01940680667757988	red	silver	0	520503
in|0.009212641045451164, not|0.03803527355194092, a|0.00010170676978304982, lot|0.004983797669410706, of|0.004395254887640476, words|0.011786647140979767, is|-0.0027338203508406878, the|-0.0007063589291647077, food|-0.005454633384943008, napping|0.016845569014549255, on|0.006479803007096052, the|0.0012001587310805917, table|-0.005880908574908972	knives	no	0	350623
in|0.009075768291950226, not|0.0065554347820580006, a|0.0023831462021917105, lot|0.004591084085404873, of|0.00033673917641863227, words|0.010816971771419048, what|0.020405719056725502, has|0.0030103400349617004, been|0.0023447161074727774, to|0.00017385972023475915, make|-0.010567096062004566, lights|-0.004624270834028721	pots		0	350623
in|0.011801637709140778, not|0.007578537333756685, a|-0.0002622132597025484, lot|0.01075180247426033, of|-0.0036116307601332664, words|0.04620297625660896, what|-0.0015813776990398765, is|-0.0032662618905305862, in|0.0011636338895186782, the|0.0023381407372653484, top|-0.0049322182312607765, right|-0.01342194527387619, corner|-0.00504312152042985	chips	tree	0	8647
in|-0.10620392858982086, not|-0.18028995394706726, a|0.06778513640165329, lot|0.0016122260130941868, of|0.02355826273560524, words|-0.13011623919010162, is|0.0031167727429419756, there|0.04492446407675743, a|0.07362785935401917, bicycle|-0.054029375314712524, in|-0.023064451292157173, this|-0.0378020741045475, picture|-0.008950259536504745	yes	yes	1	56205
in|-0.03085688129067421, not|-0.2705966830253601, a|0.04078975319862366, lot|0.0576116144657135, of|-0.040771059691905975, words|-0.2787612974643707, is|-0.02087378315627575, the|0.010137188248336315, water|0.040333688259124756, running|0.2547382712364197, in|0.01689181849360466, the|0.010352705605328083, sink|0.0200538020581007	no	no	1	103488
in|0.04446995630860329, not|0.048860616981983185, a|-0.011155043728649616, lot|-0.008486207574605942, of|-0.001947417389601469, words|0.0868273675441742, what|0.10051030665636063, is|-0.018443049862980843, the|0.0002868687151931226, teddy|-0.050097521394491196, bear|-0.009752252139151096, sitting|-0.05297672003507614, on|0.02157428488135338	chest	table|stool	0	124039
in|-0.009705101139843464, not|0.0024364045821130276, a|0.00014306911907624453, lot|0.004435902461409569, of|0.005211580544710159, words|-0.012923430651426315, is|-0.002272800076752901, the|-0.0037496406584978104, weather|0.027922429144382477, warm|0.034047357738018036, in|-0.00526759959757328, this|-0.0038039807695895433, picture|-0.00023267415235750377	cold	no	0	200296
in|-0.00831524096429348, not|-0.06418456882238388, a|0.004943914711475372, lot|0.03428228944540024, of|0.006167784333229065, words|-0.16550365090370178, how|0.1049070805311203, many|0.18371622264385223, people|0.06557964533567429, are|0.0060625276528298855, in|-0.0034143959637731314, this|-0.010217071510851383, photo|0.006413401570171118	2	2	1	200296
in|-0.002067865803837776, not|-0.019395818933844566, a|-0.005104305688291788, lot|0.01164467353373766, of|-0.003222193568944931, words|-0.021837586537003517, how|0.022084319964051247, many|0.07080300152301788, fruits|-0.012575708329677582, and|0.00038655579555779696, veggies|0.023982279002666473, are|0.012806656770408154, there|0.002145569771528244	100	lot	0	303566
in|-0.08152095228433609, not|0.051978949457407, a|0.03917621076107025, lot|0.029681967571377754, of|0.015368204563856125, words|-0.008362367749214172, what|0.1276877224445343, is|0.0611245296895504, the|0.009721093811094761, person|0.07815317064523697, holding|0.028485968708992004, in|0.015179579146206379, hand|0.12942728400230408	orange	orange	1	354333
in|-0.21952961385250092, not|-0.1913820505142212, a|0.07297030091285706, lot|-0.028989870101213455, of|0.024364380165934563, words|-0.14188091456890106, does|0.04396336153149605, this|-0.019569769501686096, look|0.10860078781843185, like|-0.0008308043470606208, a|0.08366653323173523, dorm|0.07676834613084793, room|0.12916213274002075	yes	yes|no	1	443797
in|-0.14593461155891418, not|-0.10067462921142578, a|0.056059159338474274, lot|-0.017723210155963898, of|0.03939018025994301, words|-0.0881810262799263, is|0.003557219635695219, there|0.05783680081367493, a|0.08388933539390564, rug|0.06487412750720978, in|-0.004615792538970709, the|0.008924023248255253, bedroom|-0.0032055117189884186	yes	yes	1	443797
in|-0.13720077276229858, not|-0.16238820552825928, a|0.054762665182352066, lot|-0.005026170983910561, of|0.01600060611963272, words|-0.15485666692256927, has|0.015109946019947529, it|-0.0023036152124404907, been|0.016893424093723297, raining|-0.021760839968919754, in|0.03765711560845375, this|-0.00922334473580122, scene|0.013986595906317234	yes	yes	1	530162
